videoid,beeid,colony,sched,caff,flowerid,timin,timeout,totaltime,totaltimeint,notes
B56_B3_52523_157_FR45_1,B56,B3,FR45,No,A3,3:28,3:39,0:11:00,11,B56_FR45_157
B56_B3_52523_157_FR45_1,B56,B3,FR45,No,A4,3:58,4:22,0:24:00,24,B56_FR45_157
B56_B3_52523_157_FR45_1,B56,B3,FR45,No,B4,6:12,6:28,0:16:00,16,B56_FR45_157
B56_B3_52523_157_FR45_1,B56,B3,FR45,No,B4,6:42,6:45,0:03:00,3,B56_FR45_157
B56_B3_52523_157_FR45_1,B56,B3,FR45,No,C4,6:58,7:08,0:10:00,10,B56_FR45_157
B56_B3_52523_157_FR45_1,B56,B3,FR45,No,C4,7:38,7:52,0:14:00,14,B56_FR45_157
B56_B3_52523_157_FR45_1,B56,B3,FR45,No,C4,7:57,8:07,0:10:00,10,B56_FR45_157
B56_B3_52523_157_FR45_1,B56,B3,FR45,No,C4,8:32,8:34,0:02:00,2,B56_FR45_157
B56_B3_52523_157_FR45_1,B56,B3,FR45,No,C1,10:24,10:28,0:04:00,4,B56_FR45_157
B56_B3_52523_157_FR45_1,B56,B3,FR45,No,C1,10:46,10:48,0:02:00,2,B56_FR45_157
B56_B3_52523_157_FR45_1,B56,B3,FR45,No,B2,10:58,11:03,0:05:00,5,B56_FR45_157
B21_B3_53023_200_FR45_1,B21,B3,FR45,No,A3,1:11,1:33,0:22:00,22,B21_FR45_200 no caffeine
B21_B3_53023_200_FR45_1,B21,B3,FR45,No,A3,1:39,1:55,0:16:00,16,B21_FR45_200
B21_B3_53023_200_FR45_1,B21,B3,FR45,No,A3,2:01,2:12,0:11:00,11,B21_FR45_200
B21_B3_53023_200_FR45_1,B21,B3,FR45,No,A3,2:18,2:31,0:13:00,13,B21_FR45_200
B21_B3_53023_200_FR45_1,B21,B3,FR45,No,A3,2:37,2:50,0:13:00,13,B21_FR45_200
B21_B3_53023_200_FR45_1,B21,B3,FR45,No,A3,2:54,3:08,0:14:00,14,B21_FR45_200
B21_B3_53023_200_FR45_1,B21,B3,FR45,No,A3,3:16,3:27,0:11:00,11,B21_FR45_200
B21_B3_53023_200_FR45_1,B21,B3,FR45,No,C4,3:45,3:56,0:11:00,11,B21_FR45_200
B21_B3_53023_200_FR45_1,B21,B3,FR45,No,C4,4:02,4:13,0:11:00,11,B21_FR45_200
B21_B3_53023_200_FR45_1,B21,B3,FR45,No,C4,4:18,4:28,0:10:00,10,B21_FR45_200
B21_B3_53023_200_FR45_1,B21,B3,FR45,No,C4,4:35,4:37,0:02:00,2,B21_FR45_200
B57_B3_53123_140_FR45_1,B57,B3,FR45,No,C3,1:27,1:42,0:00:00,0,B57_FR45_140 *
B57_B3_53123_140_FR45_1,B57,B3,FR45,No,B2,3:06,3:23,0:17:00,17,B57_FR45_140
B57_B3_53123_140_FR45_1,B57,B3,FR45,No,B2,6:07,6:19,0:12:00,12,B57_FR45_140
B57_B3_53123_140_FR45_1,B57,B3,FR45,No,B2,8:45,8:57,0:12:00,12,B57_FR45_140
B57_B3_53123_140_FR45_1,B57,B3,FR45,No,C2,8:24,8:39,0:15:00,15,B57_FR45_140
B57_B3_53123_140_FR45_1,B57,B3,FR45,No,C2,9:43,9:46,0:03:00,3,B57_FR45_140
B57_B3_53123_140_FR45_1,B57,B3,FR45,No,C2,9:52,10:00,0:08:00,8,B57_FR45_140
B57_B3_53123_140_FR45_1,B57,B3,FR45,No,C1,2:16,2:31,0:15:00,15,B57_FR45_140
B57_B3_53123_140_FR45_1,B57,B3,FR45,No,A2,5:22,5:38,0:16:00,16,B57_FR45_140
B57_B3_53123_140_FR45_1,B57,B3,FR45,No,B4,11:09,11:18,0:09:00,9,B57_FR45_140
B57_B3_53123_140_FR45_1,B57,B3,FR45,No,B1,2:44,2:54,0:10:00,10,B57_FR45_140
